,movieId,title,genres,rating_avg,year,total_votes
7656,88448,Paper Birds (Pájaros de papel) ,Comedy|Drama,5.0,2010,1.0
8107,100556,"Act of Killing, The ",Documentary,5.0,2012,1.0
9083,143031,Jump In! ,Comedy|Drama|Romance,5.0,2007,1.0
9094,143511,Human ,Documentary,5.0,2015,1.0
9096,143559,L.A. Slasher ,Comedy|Crime|Fantasy,5.0,2015,1.0
4251,6201,Lady Jane ,Drama|Romance,5.0,1986,1.0
8154,102217,Bill Hicks: Revelations ,Comedy,5.0,1993,1.0
8148,102084,Justice League: Doom ,Action|Animation|Fantasy,5.0,2012,1.0
4246,6192,Open Hearts (Elsker dig for evigt) ,Romance,5.0,2002,1.0
9122,145994,Formula of Love ,Comedy,5.0,1984,1.0
8115,100906,Maniac Cop 2 ,Action|Horror|Thriller,5.0,1990,1.0
9129,146662,Dragons: Gift of the Night Fury ,Adventure|Animation|Comedy,5.0,2011,1.0
8074,99636,English Vinglish ,Comedy|Drama,5.0,2012,1.0
5785,31522,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) ",Drama,5.0,1979,1.0
9131,146684,Cosmic Scrat-tastrophe ,Animation|Children|Comedy,5.0,2015,1.0
9137,147196,The Girls ,Comedy|Romance,5.0,1961,1.0
9138,147250,The Adventures of Sherlock Holmes and Doctor Watson,(no genres listed),5.0,,1.0
9140,147286,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra ,Crime|Mystery,5.0,1983,1.0
9141,147300,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches ,Crime|Mystery,5.0,1986,1.0
9142,147326,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers ,Crime|Mystery,5.0,1980,1.0
9143,147328,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature ,Crime,5.0,1979,1.0
6999,67618,Strictly Sexual ,Comedy|Drama|Romance,5.0,2008,1.0
3320,4495,Crossing Delancey ,Comedy|Romance,5.0,1988,1.0
8212,103602,Craig Ferguson: I'm Here To Help ,Comedy|Documentary,5.0,2013,1.0
6920,64501,Che: Part Two ,Drama|War,5.0,2008,1.0
6919,64499,Che: Part One ,Drama|War,5.0,2008,1.0
9007,140133,Hollywood Chainsaw Hookers ,Comedy|Horror,5.0,1988,1.0
9012,140265,George Carlin: Jammin' in New York ,Comedy,5.0,1992,1.0
4375,6408,Animals are Beautiful People ,Comedy|Documentary,5.0,1974,1.0
4372,6402,Siam Sunset ,Comedy,5.0,1999,1.0
6799,60737,Watching the Detectives ,Comedy|Romance,5.0,2007,1.0
9022,140627,Battle For Sevastopol ,Drama|Romance|War,5.0,2015,1.0
5906,33649,Saving Face ,Comedy|Drama|Romance,5.0,2004,1.0
9042,141718,Deathgasm ,Comedy|Horror,5.0,2015,1.0
8250,104780,"Mystery of the Third Planet, The (Tayna tretey planety) ",Adventure|Animation|Sci-Fi,5.0,1981,1.0
9046,141816,12 Chairs ,Adventure|Comedy,5.0,1976,1.0
2838,3795,"Five Senses, The ",Drama,5.0,1999,1.0
2835,3792,Duel in the Sun ,Drama|Romance|Western,5.0,1946,1.0
3294,4454,More ,Animation|Drama|Sci-Fi|IMAX,5.0,1998,1.0
1889,2512,"Ballad of Narayama, The (Narayama bushiko) ",Drama,5.0,1983,1.0
9055,141928,Bloodsucking Bastards ,Comedy|Horror,5.0,2015,1.0
5878,33138,Palindromes ,Adventure|Comedy|Drama,5.0,2004,1.0
9057,142020,Oscar ,Comedy,5.0,1967,1.0
2125,2824,On the Ropes ,Documentary|Drama,5.0,1999,1.0
9068,142444,The Editor ,Comedy|Horror|Mystery,5.0,2015,1.0
9144,147330,Sherlock Holmes and Dr. Watson: Acquaintance ,Crime,5.0,1979,1.0
2749,3687,Light Years (Gandahar) ,Adventure|Animation|Fantasy|Sci-Fi,5.0,1988,1.0
9367,162414,Moonlight,Drama,5.0,,1.0
9281,157775,Tenchi Muyô! In Love ,Animation|Comedy,5.0,1996,1.0
5633,27320,"Nine Lives of Tomas Katz, The ",Comedy|Drama|Fantasy,5.0,2000,1.0
9234,152711,Who Killed Chea Vichea? ,Documentary,5.0,2010,1.0
7134,71268,Tyler Perry's I Can Do Bad All by Myself ,Comedy|Drama,5.0,2009,1.0
5598,26928,"Summer's Tale, A (Conte d'été) ",Comedy|Drama|Romance,5.0,1996,1.0
9255,156025,Ice Age: The Great Egg-Scapade ,Adventure|Animation|Children|Comedy,5.0,2016,1.0
5586,26849,"Stand, The ",Adventure|Drama|Fantasy|Horror|Sci-Fi,5.0,1994,1.0
7174,72142,Love Exposure (Ai No Mukidashi) ,Action|Comedy|Drama|Romance,5.0,2008,1.0
5585,26840,Sonatine (Sonachine) ,Action|Comedy|Crime|Drama,5.0,1993,1.0
7966,96430,"Odd Life of Timothy Green, The ",Comedy|Drama|Fantasy,5.0,2012,1.0
9284,158027,SORI: Voice from the Heart ,Drama|Sci-Fi,5.0,2016,1.0
666,876,Supercop 2 (Project S) (Chao ji ji hua) ,Action|Comedy|Crime|Thriller,5.0,1993,1.0
2319,3073,"Sandpiper, The ",Drama|Romance,5.0,1965,1.0
9289,158398,World of Glory ,Comedy,5.0,1991,1.0
9299,158882,All Yours ,Comedy|Drama|Romance,5.0,2016,1.0
7199,72692,Mickey's Once Upon a Christmas ,Animation|Comedy|Fantasy,5.0,1999,1.0
9317,159811,The Bremen Town Musicians ,Animation|Drama|Fantasy,5.0,1969,1.0
7945,95843,Goodbye Charlie ,Comedy|Fantasy|Romance,5.0,1964,1.0
7239,73822,Meantime ,Comedy|Drama,5.0,1984,1.0
9337,160644,Indignation ,Drama,5.0,2016,1.0
7249,74226,"Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) ",Documentary|Drama,5.0,1992,1.0
7978,96608,Runaway Brain ,Animation|Comedy|Sci-Fi,5.0,1995,1.0
2711,3637,Vagabond (Sans toit ni loi) ,Drama,5.0,1985,1.0
7990,96832,Holy Motors ,Drama|Fantasy|Musical|Mystery|Sci-Fi,5.0,2012,1.0
9214,151769,Three from Prostokvashino ,Animation,5.0,1978,1.0
